0000	C0 controls
1BF0	Dependent consonant signs
1BF2	Signs
1BFC	Punctuation
1C00	Lepcha
1C00	Consonants
1C24	Subjoined consonants
1C26	Dependent vowels
1C2D	Consonant signs
1C36	Various signs
1C3B	Punctuation
1C40	Digits
1C4D	Additional letters
1C50	Ol Chiki
1C50	Digits
1C5A	Letters
1C78	Modifier letters
1C7E	Punctuation
1C80	Cyrillic Extended C
1C80	Historic letter variants
1C90	Georgian Extended
1C90	Capital letters (Mtavruli)
1CB1	Archaic letters
1CB7	Additional letters for Mingrelian and Svan
1CB9	Additional letters
1CBD	Additional letters for Ossetian and Abkhaz
1CC0	Sundanese Supplement
1CC0	Punctuation
1CD0	Vedic Extensions
1CD0	Tone marks for the Samaveda
1CD3	Breathing mark for the Samaveda
1CD4	Signs for Yajurvedic
1CDE	Tone marks for the Satapathabrahmana
1CE0	Tone mark for the Rigveda
1CE1	Tone mark for the Atharvaveda
1CE2	Diacritics for visarga
1CE9	Nasalization signs
1CF2	Ardhavisarga
1CF4	Sign for Yajurvedic
1CF5	Signs
1CF8	Signs for Jaiminiya Sama Veda
1CFA	Nasalization sign
1D00	Phonetic Extensions
1D00	Latin letters
1D26	Greek letters
1D2B	Cyrillic letter
1D2C	Latin superscript modifier letters
1D5D	Greek superscript modifier letters
1D62	Latin subscript modifier letters
1D66	Greek subscript modifier letters
1D6B	Latin letter
1D6C	Latin letters with middle tilde
1D77	Caucasian linguistics
1D79	Other phonetic symbols
1D80	Phonetic Extensions Supplement
1D80	Latin letters with palatal hook
1D8F	Latin letters with retroflex hook
1D9B	Modifier letters
1DC0	Combining Diacritical Marks Supplement
1DC0	Used for Ancient Greek
1DC2	Miscellaneous marks
1DC4	Contour tone marks
1DCA	Miscellaneous mark
1DCB	Contour tone marks
1DCD	Double diacritic
1DCE	Medievalist additions
1DD3	Medieval superscript letter diacritics
1DE7	Superscript letter diacritics for German dialectology
1DF5	Diacritic for American lexicography
1DF6	Typicon marks
1DF8	Miscellaneous marks
1DFC	Double diacritic mark for UPA
1DFD	Miscellaneous mark
1DFE	Additional marks for UPA
1E00	Latin Extended Additional
1E00	Latin general use extensions
1E9C	Medievalist additions
1E9E	Addition for German typography
1E9F	Medievalist addition
1EA0	Latin extensions for Vietnamese
1EF2	Latin general extensions
1EFA	Medievalist additions
1F00	Greek Extended
1F00	Precomposed polytonic Greek
2000	General Punctuation
2000	Spaces
200B	Format characters
2010	Dashes
2016	General punctuation
2018	Quotation marks and apostrophe
2020	General punctuation
2028	Separators
202A	Format characters
202F	Space
2030	General punctuation
2039	Quotation marks
203B	General punctuation
203C	Double punctuation for vertical text
203D	General punctuation
2045	Brackets
2047	Double punctuation for vertical text
204A	General punctuation
2056	Archaic punctuation
2057	General punctuation
2058	Archaic punctuation
205F	Space
2060	Format character
2061	Invisible operators
2066	Format characters
206A	Deprecated
2070	Superscripts and Subscripts
2070	Superscripts
2080	Subscripts
2095	Subscripts for UPA
20A0	Currency Symbols
20A0	Currency symbols
20D0	Combining Diacritical Marks for Symbols
20D0	Combining diacritical marks for symbols
20DD	Enclosing diacritics
20E1	Additional diacritical mark for symbols
20E2	Additional enclosing diacritics
20E5	Additional diacritical marks for symbols
2100	Letterlike Symbols
2100	Letterlike symbols
2135	Hebrew letterlike math symbols
2139	Additional letterlike symbols
2140	Double-struck large operator
2141	Additional letterlike symbols
2145	Double-struck italic math symbols
214A	Additional letterlike symbols
214E	Lowercase Claudian letter
214F	Biblical editorial symbol
2150	Number Forms
2150	Fractions
2160	Roman numerals
2180	Archaic Roman numerals
2184	Lowercase Claudian letter
2185	Archaic Roman numerals
2189	Fraction
218A	Turned digits
2190	Arrows
2190	Simple arrows
219A	Arrows with modifications
21B0	Arrows with bent tips
21B4	Keyboard symbols and circle arrows
21BC	Harpoons
21C4	Paired arrows and harpoons
21CD	Double arrows
